match_id,fecha,jornada,torneo,local,visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,shots_local,shots_visitante,shots_ot_local,shots_ot_visitante,xg_local,xg_visitante,corners_total,amarillas_total,rojas_total
5101800,2026-03-08,10,Liga MX Clausura 2026,Tigres,Monterrey,1,0,6.0,3.0,1.0,2.0,0.0,0.0,13.0,4.0,2.0,0.0,1.65,0.06,9.0,3.0,0.0
5101802,2026-03-08,10,Liga MX Clausura 2026,Toluca,FC Juarez,3,1,6.0,4.0,1.0,4.0,0.0,0.0,19.0,7.0,5.0,2.0,2.23,0.27,10.0,5.0,0.0
5101803,2026-03-09,10,Liga MX Clausura 2026,Tijuana,Santos Laguna,1,2,4.0,7.0,1.0,1.0,1.0,0.0,16.0,17.0,3.0,9.0,0.92,2.92,11.0,2.0,1.0
5101804,2026-03-14,11,Liga MX Clausura 2026,Puebla,Necaxa,0,0,6.0,5.0,4.0,2.0,0.0,1.0,21.0,8.0,3.0,1.0,0.93,0.29,11.0,6.0,1.0
5101806,2026-03-14,11,Liga MX Clausura 2026,FC Juarez,Monterrey,2,2,6.0,1.0,1.0,1.0,0.0,1.0,24.0,7.0,8.0,3.0,4.06,1.08,7.0,2.0,1.0
5101807,2026-03-14,11,Liga MX Clausura 2026,Atletico de San Luis,Pachuca,1,1,0.0,5.0,3.0,2.0,0.0,0.0,8.0,12.0,2.0,4.0,1.07,0.97,5.0,5.0,0.0
5101808,2026-03-14,11,Liga MX Clausura 2026,Chivas,Santos Laguna,3,0,4.0,4.0,4.0,3.0,0.0,0.0,18.0,4.0,7.0,1.0,2.6,0.36,8.0,7.0,0.0
5101809,2026-03-15,11,Liga MX Clausura 2026,Leon,Tijuana,0,3,6.0,2.0,2.0,3.0,0.0,0.0,13.0,6.0,5.0,3.0,1.02,1.42,8.0,5.0,0.0
5101810,2026-03-15,11,Liga MX Clausura 2026,Toluca,Atlas,1,1,8.0,4.0,2.0,3.0,0.0,0.0,25.0,12.0,9.0,5.0,2.18,0.88,12.0,5.0,0.0
5101811,2026-03-15,11,Liga MX Clausura 2026,Pumas,Cruz Azul,2,2,5.0,5.0,4.0,1.0,1.0,0.0,6.0,25.0,1.0,6.0,1.08,1.5,10.0,5.0,1.0
5101805,2026-03-15,11,Liga MX Clausura 2026,Tigres,Queretaro FC,0,0,8.0,7.0,3.0,3.0,0.0,0.0,12.0,8.0,2.0,5.0,0.42,0.29,15.0,6.0,0.0
5101812,2026-03-16,11,Liga MX Clausura 2026,CF America,Mazatlan FC,2,0,6.0,4.0,0.0,2.0,0.0,0.0,33.0,8.0,12.0,2.0,2.62,0.97,10.0,2.0,0.0
5101813,2026-03-19,9,Liga MX Clausura 2026,Chivas,Leon,5,0,12.0,0.0,1.0,2.0,0.0,1.0,35.0,1.0,16.0,1.0,5.49,0.1,12.0,3.0,1.0
