fecha,liga,nombre_liga,pais,temporada,local,visitante,goles_local,goles_visita,odd_1,odd_X,odd_2,odd_over25,odd_under25
2024-02-17,premier,Premier League,England,2023/2024,Burnley,Arsenal,0,5,9.78,5.73,1.31,1.57,2.35
2024-02-17,premier,Premier League,England,2023/2024,Fulham,Aston Villa,1,2,2.97,3.76,2.32,1.6,2.3
2024-02-17,premier,Premier League,England,2023/2024,Newcastle,Bournemouth,2,2,1.87,4.15,3.84,1.48,2.6
2024-02-17,premier,Premier League,England,2023/2024,Nott'm Forest,West Ham,2,0,2.47,3.5,2.92,1.89,2.01
2024-02-17,premier,Premier League,England,2023/2024,Tottenham,Wolves,1,2,1.55,4.87,5.36,1.44,2.7
2024-02-17,premier,Premier League,England,2023/2024,Man City,Chelsea,1,1,1.34,5.71,8.37,1.44,2.7
2024-02-18,premier,Premier League,England,2023/2024,Sheffield United,Brighton,0,5,4.99,4.4,1.64,1.57,2.35
2024-02-18,premier,Premier League,England,2023/2024,Luton,Man United,1,2,4.17,4.13,1.81,1.57,2.35
2024-02-19,premier,Premier League,England,2023/2024,Everton,Crystal Palace,1,1,1.72,3.79,5.26,2.1,1.7
2024-02-20,premier,Premier League,England,2023/2024,Man City,Brentford,1,0,1.17,8.67,15.04,1.33,3.4
2024-02-21,premier,Premier League,England,2023/2024,Liverpool,Luton,4,1,1.19,7.94,12.93,1.3,3.5
2024-02-24,premier,Premier League,England,2023/2024,Aston Villa,Nott'm Forest,4,2,1.57,4.52,5.55,1.57,2.35
2024-02-24,premier,Premier League,England,2023/2024,Brighton,Everton,1,1,1.82,4.04,4.2,1.65,2.2
2024-02-24,premier,Premier League,England,2023/2024,Crystal Palace,Burnley,3,0,2.03,3.45,3.98,2.1,1.7
2024-02-24,premier,Premier League,England,2023/2024,Man United,Fulham,1,2,1.61,4.48,5.21,1.57,2.35
2024-02-24,premier,Premier League,England,2023/2024,Bournemouth,Man City,0,1,7.2,5.14,1.42,1.48,2.6
2024-02-24,premier,Premier League,England,2023/2024,Arsenal,Newcastle,4,1,1.4,5.32,7.33,1.48,2.6
2024-02-25,premier,Premier League,England,2023/2024,Wolves,Sheffield United,1,0,1.43,4.66,7.0,1.65,2.2
2024-02-26,premier,Premier League,England,2023/2024,West Ham,Brentford,4,2,2.57,3.68,2.68,1.7,2.1
2024-03-02,premier,Premier League,England,2023/2024,Brentford,Chelsea,2,2,3.04,3.95,2.21,1.53,2.4
2024-03-02,premier,Premier League,England,2023/2024,Everton,West Ham,1,3,2.1,3.57,3.62,1.92,1.98
2024-03-02,premier,Premier League,England,2023/2024,Fulham,Brighton,3,0,2.6,3.59,2.7,1.62,2.25
2024-03-02,premier,Premier League,England,2023/2024,Newcastle,Wolves,3,0,1.89,4.01,3.89,1.57,2.35
2024-03-02,premier,Premier League,England,2023/2024,Nott'm Forest,Liverpool,0,1,5.69,4.73,1.54,1.48,2.6
2024-03-02,premier,Premier League,England,2023/2024,Tottenham,Crystal Palace,3,1,1.52,4.51,6.26,1.53,2.4
2024-03-02,premier,Premier League,England,2023/2024,Luton,Aston Villa,2,3,4.34,4.44,1.72,1.44,2.7
