equipo,elo,fecha,liga
Vallecano,1456.38,2022-03-06,laliga
Elche,1472.73,2022-03-06,laliga
Barcelona,1574.16,2022-03-06,laliga
Celta,1501.33,2022-03-06,laliga
Mallorca,1440.07,2022-03-06,laliga
Betis,1525.29,2022-03-06,laliga
Ath Madrid,1548.33,2022-03-06,laliga
Ath Bilbao,1523.06,2022-03-07,laliga
Levante,1426.25,2022-03-07,laliga
Ath Madrid,1553.69,2022-03-11,laliga
Cadiz,1449.21,2022-03-11,laliga
Getafe,1470.37,2022-03-12,laliga
Valencia,1498.77,2022-03-12,laliga
Villarreal,1537.45,2022-03-12,laliga
Celta,1494.38,2022-03-12,laliga
Levante,1425.43,2022-03-12,laliga
Espanol,1478.58,2022-03-12,laliga
Granada,1436.04,2022-03-12,laliga
Elche,1484.27,2022-03-12,laliga
Vallecano,1457.71,2022-03-13,laliga
Sevilla,1581.64,2022-03-13,laliga
Betis,1532.96,2022-03-13,laliga
Ath Bilbao,1515.39,2022-03-13,laliga
Sociedad,1534.18,2022-03-13,laliga
Alaves,1434.04,2022-03-13,laliga
Barcelona,1579.78,2022-03-13,laliga
Osasuna,1485.53,2022-03-13,laliga
Mallorca,1432.61,2022-03-14,laliga
Real Madrid,1617.97,2022-03-14,laliga
Ath Bilbao,1511.93,2022-03-18,laliga
Getafe,1473.83,2022-03-18,laliga
Alaves,1421.77,2022-03-19,laliga
Granada,1448.3,2022-03-19,laliga
Elche,1472.35,2022-03-19,laliga
Valencia,1510.69,2022-03-19,laliga
Osasuna,1491.74,2022-03-19,laliga
Levante,1419.23,2022-03-19,laliga
Vallecano,1448.13,2022-03-19,laliga
Ath Madrid,1563.28,2022-03-19,laliga
Real Madrid,1604.62,2022-03-20,laliga
Barcelona,1593.13,2022-03-20,laliga
Sevilla,1578.11,2022-03-20,laliga
Sociedad,1537.71,2022-03-20,laliga
Cadiz,1459.5,2022-03-20,laliga
Villarreal,1527.15,2022-03-20,laliga
Espanol,1485.14,2022-03-20,laliga
Mallorca,1426.05,2022-03-20,laliga
Celta,1493.19,2022-03-20,laliga
Betis,1534.15,2022-03-20,laliga
Getafe,1480.43,2022-04-02,laliga
Mallorca,1419.45,2022-04-02,laliga
Levante,1430.23,2022-04-02,laliga
Villarreal,1516.16,2022-04-02,laliga
Celta,1483.93,2022-04-02,laliga
Real Madrid,1613.88,2022-04-02,laliga
Ath Madrid,1567.73,2022-04-02,laliga
Alaves,1417.33,2022-04-02,laliga
Ath Bilbao,1518.74,2022-04-03,laliga
Elche,1465.54,2022-04-03,laliga
Betis,1540.89,2022-04-03,laliga
Osasuna,1485.0,2022-04-03,laliga
Granada,1445.99,2022-04-03,laliga
Vallecano,1450.44,2022-04-03,laliga
Valencia,1507.01,2022-04-03,laliga
Cadiz,1463.18,2022-04-03,laliga
Barcelona,1600.6,2022-04-03,laliga
Sevilla,1570.64,2022-04-03,laliga
Sociedad,1544.19,2022-04-04,laliga
Espanol,1478.66,2022-04-04,laliga
Sevilla,1575.46,2022-04-08,laliga
Granada,1441.18,2022-04-08,laliga
Real Madrid,1618.51,2022-04-09,laliga
Getafe,1475.79,2022-04-09,laliga
Villarreal,1513.91,2022-04-09,laliga
Ath Bilbao,1520.98,2022-04-09,laliga
Mallorca,1431.69,2022-04-09,laliga
Ath Madrid,1555.49,2022-04-09,laliga
Cadiz,1452.86,2022-04-09,laliga
Betis,1551.2,2022-04-09,laliga
Osasuna,1491.14,2022-04-10,laliga
Alaves,1411.19,2022-04-10,laliga
Espanol,1486.74,2022-04-10,laliga
Celta,1475.85,2022-04-10,laliga
Elche,1455.24,2022-04-10,laliga
Sociedad,1554.49,2022-04-10,laliga
Levante,1422.58,2022-04-10,laliga
Barcelona,1608.24,2022-04-10,laliga
Vallecano,1449.75,2022-04-11,laliga
Valencia,1507.71,2022-04-11,laliga
Sociedad,1552.06,2022-04-15,laliga
Betis,1553.62,2022-04-15,laliga
Valencia,1494.6,2022-04-16,laliga
Osasuna,1504.24,2022-04-16,laliga
Getafe,1464.24,2022-04-16,laliga
Villarreal,1525.46,2022-04-16,laliga
Elche,1462.57,2022-04-16,laliga
Mallorca,1424.36,2022-04-16,laliga
Alaves,1420.27,2022-04-16,laliga
Vallecano,1440.66,2022-04-16,laliga
Sevilla,1564.05,2022-04-17,laliga
Real Madrid,1629.93,2022-04-17,laliga
Ath Bilbao,1507.1,2022-04-17,laliga
Celta,1489.73,2022-04-17,laliga
Granada,1428.0,2022-04-17,laliga
Levante,1435.75,2022-04-17,laliga
Ath Madrid,1561.65,2022-04-17,laliga
Espanol,1480.58,2022-04-17,laliga
Barcelona,1591.82,2022-04-18,laliga
Cadiz,1469.29,2022-04-18,laliga
Mallorca,1432.25,2022-04-19,laliga
Alaves,1412.39,2022-04-19,laliga
Betis,1538.57,2022-04-19,laliga
Elche,1477.62,2022-04-19,laliga
Villarreal,1532.6,2022-04-19,laliga
Valencia,1487.45,2022-04-19,laliga
